command, ”description” 
pwd,
ls,
cd, 
mkdir,
rmdir,
rm,
cp,
mv,
ssh,
scp,
man,
g++ 
gcc,
make,
ps,
kill,
top,
who,
chmod,
cat,
alias,
chown,
df,
grep,
echo,
exit,
clear,
find,
finger,
free,
